"","date","hits","keyword","geo"
"130",2020-10-25,23,"Elkay","US-AZ"
"131",2020-11-01,37,"Elkay","US-AZ"
"132",2020-11-08,22,"Elkay","US-AZ"
"133",2020-11-15,66,"Elkay","US-AZ"
"134",2020-11-29,43,"Elkay","US-AZ"
"135",2020-12-06,21,"Elkay","US-AZ"
"136",2020-12-20,24,"Elkay","US-AZ"
"137",2021-01-10,21,"Elkay","US-AZ"
"138",2021-01-24,62,"Elkay","US-AZ"
"139",2021-01-31,21,"Elkay","US-AZ"
"140",2021-02-07,21,"Elkay","US-AZ"
"141",2021-02-14,21,"Elkay","US-AZ"
"142",2021-02-21,63,"Elkay","US-AZ"
"143",2021-02-28,21,"Elkay","US-AZ"
"144",2021-03-07,21,"Elkay","US-AZ"
"145",2021-03-21,21,"Elkay","US-AZ"
"146",2021-04-04,22,"Elkay","US-AZ"
"147",2021-04-11,43,"Elkay","US-AZ"
"148",2021-04-25,22,"Elkay","US-AZ"
"149",2021-05-23,46,"Elkay","US-AZ"
"150",2021-05-30,23,"Elkay","US-AZ"
"151",2021-06-06,23,"Elkay","US-AZ"
"152",2021-06-13,23,"Elkay","US-AZ"
"153",2021-06-27,23,"Elkay","US-AZ"
"154",2021-07-11,46,"Elkay","US-AZ"
"155",2021-07-18,70,"Elkay","US-AZ"
"156",2021-07-25,23,"Elkay","US-AZ"
"157",2019-01-13,39,"Elkay","US-AR"
"158",2019-03-03,39,"Elkay","US-AR"
"159",2019-04-21,42,"Elkay","US-AR"
"160",2019-04-28,40,"Elkay","US-AR"
"161",2019-05-19,43,"Elkay","US-AR"
"162",2019-06-16,44,"Elkay","US-AR"
"163",2019-07-07,43,"Elkay","US-AR"
"164",2019-07-28,44,"Elkay","US-AR"
"165",2019-09-08,38,"Elkay","US-AR"
"166",2019-09-29,77,"Elkay","US-AR"
"167",2019-11-17,37,"Elkay","US-AR"
"168",2020-01-19,35,"Elkay","US-AR"
"169",2020-01-26,70,"Elkay","US-AR"
"170",2020-02-09,35,"Elkay","US-AR"
"171",2020-02-23,34,"Elkay","US-AR"
"172",2020-03-15,32,"Elkay","US-AR"
"173",2020-03-22,34,"Elkay","US-AR"
"174",2020-04-26,32,"Elkay","US-AR"
"175",2020-05-03,32,"Elkay","US-AR"
"176",2020-05-24,33,"Elkay","US-AR"
"177",2020-07-12,36,"Elkay","US-AR"
"178",2020-08-02,37,"Elkay","US-AR"
"179",2020-08-09,36,"Elkay","US-AR"
"180",2020-08-30,31,"Elkay","US-AR"
"181",2020-09-06,100,"Elkay","US-AR"
"182",2020-09-20,65,"Elkay","US-AR"
"183",2020-09-27,71,"Elkay","US-AR"
"184",2020-10-11,40,"Elkay","US-AR"
"185",2020-12-20,41,"Elkay","US-AR"
"186",2021-01-03,36,"Elkay","US-AR"
"187",2021-01-17,37,"Elkay","US-AR"
"188",2021-01-24,36,"Elkay","US-AR"
"189",2021-02-07,36,"Elkay","US-AR"
"190",2021-03-07,37,"Elkay","US-AR"
"191",2021-03-14,34,"Elkay","US-AR"
"192",2021-04-11,76,"Elkay","US-AR"
"193",2021-04-25,38,"Elkay","US-AR"
"194",2021-07-18,39,"Elkay","US-AR"
"195",2019-01-06,42,"Elkay","US-CA"
"196",2019-01-13,42,"Elkay","US-CA"
"197",2019-01-20,60,"Elkay","US-CA"
"198",2019-01-27,50,"Elkay","US-CA"
"199",2019-02-03,58,"Elkay","US-CA"
"200",2019-02-10,50,"Elkay","US-CA"
"201",2019-02-17,17,"Elkay","US-CA"
"202",2019-02-24,49,"Elkay","US-CA"
"203",2019-03-03,50,"Elkay","US-CA"
"204",2019-03-10,34,"Elkay","US-CA"
"205",2019-03-17,52,"Elkay","US-CA"
"206",2019-03-24,70,"Elkay","US-CA"
"207",2019-03-31,27,"Elkay","US-CA"
"208",2019-04-07,53,"Elkay","US-CA"
"209",2019-04-14,18,"Elkay","US-CA"
"210",2019-04-21,71,"Elkay","US-CA"
"211",2019-04-28,43,"Elkay","US-CA"
"212",2019-05-05,52,"Elkay","US-CA"
"213",2019-05-12,26,"Elkay","US-CA"
"214",2019-05-19,43,"Elkay","US-CA"
"215",2019-05-26,35,"Elkay","US-CA"
"216",2019-06-02,17,"Elkay","US-CA"
"217",2019-06-09,52,"Elkay","US-CA"
"218",2019-06-16,44,"Elkay","US-CA"
"219",2019-06-23,54,"Elkay","US-CA"
"220",2019-06-30,56,"Elkay","US-CA"
"221",2019-07-07,52,"Elkay","US-CA"
"222",2019-07-14,63,"Elkay","US-CA"
"223",2019-07-21,18,"Elkay","US-CA"
"224",2019-07-28,100,"Elkay","US-CA"
"225",2019-08-04,63,"Elkay","US-CA"
"226",2019-08-11,62,"Elkay","US-CA"
"227",2019-08-18,26,"Elkay","US-CA"
"228",2019-08-25,51,"Elkay","US-CA"
"229",2019-09-01,42,"Elkay","US-CA"
"230",2019-09-08,41,"Elkay","US-CA"
"231",2019-09-15,41,"Elkay","US-CA"
"232",2019-09-22,57,"Elkay","US-CA"
"233",2019-09-29,67,"Elkay","US-CA"
"234",2019-10-06,40,"Elkay","US-CA"
"235",2019-10-13,33,"Elkay","US-CA"
"236",2019-10-20,80,"Elkay","US-CA"
"237",2019-10-27,73,"Elkay","US-CA"
